,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
412,412,993,B,Where did you meet your best friend since Kindergarten?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""friend's house"", 'school', 'fraternity house', 'internet cafe',
       'airplane'], dtype=object)}",friend's house,school,fraternity house,internet cafe,,"Question: Where did you meet your best friend since Kindergarten? (A) friend's house (B) school (C) fraternity house (D) internet cafe. 
The correct response is: "," (B) school  
The correct response is:  (B) school 
The correct response is:  (B) school 
The correct response is:  (B) school 
The correct response is:  (B)"
413,413,286,A,Where are you likely to set papers while working on them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'meeting', 'drawer', 'toilet', 'garage'], dtype=object)}",table,meeting,drawer,toilet,,"Question: Where are you likely to set papers while working on them? (A) table (B) meeting (C) drawer (D) toilet. 
The correct response is: "," (A) table  
The reason is: Tables are flat surfaces made of wood or other materials, and are often used as workspaces for various activities 
The other options are: (B) meeting (C) drawer (D) toilet 
"
414,414,710,D,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play sports', 'throw things', 'reading', 'watch tv',
       'play with toys'], dtype=object)}",play sports,throw things,reading,watch tv,,"Question: Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what? (A) play sports (B) throw things (C) reading (D) watch tv. 
The correct response is: "," (D) watch tv 
The correct response is:  (D) watch tv 
The correct response is:  (D) watch tv 
The correct response is:  (D"
415,415,343,B,What geographic area is a lizard likely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ball stopped', 'west texas', 'arid regions', 'garden',
       'warm place'], dtype=object)}",ball stopped,west texas,arid regions,garden,,"Question: What geographic area is a lizard likely to be? (A) ball stopped (B) west texas (C) arid regions (D) garden. 
The correct response is: "," (C) arid regions  
The lizard would be most likely to be found in: (C) arid regions 
The lizard would be most likely to be found in: (C) arid regions 
The lizard would be most"
416,416,484,C,What type of non-vegetarian soup is one likely to find a potato?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beef stew', 'own kitchen', 'clam chowder', 'kitchen cabinet',
       'pantry'], dtype=object)}",beef stew,own kitchen,clam chowder,kitchen cabinet,,"Question: What type of non-vegetarian soup is one likely to find a potato? (A) beef stew (B) own kitchen (C) clam chowder (D) kitchen cabinet. 
The correct response is: "," (C) clam chowder  
The potato is a staple in many vegetable soups, but it is unlikely to be found in a non-vegetarian soup like clam ch"
417,417,303,D,John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anger', 'good natured ribbing.', 'enjoying', 'injury',
       'enjoyment'], dtype=object)}",anger,good natured ribbing.,enjoying,injury,,"Question: John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe. (A) anger (B) good natured ribbing. (C) enjoying (D) injury. 
The correct response is: "," (D) injury 
The correct response is:  (D) injury 
The correct response is:  (D) injury 
The correct response is:  (D) injury "
418,418,1039,C,What is main benefit to exercising?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['losing weight', 'healthy', 'get in shape', 'weight loss', 'sweat'],
      dtype=object)}",losing weight,healthy,get in shape,weight loss,,"Question: What is main benefit to exercising? (A) losing weight (B) healthy (C) get in shape (D) weight loss. 
The correct response is: "," (A) losing weight 
The exercise is defined as physical activity that is intended to maintain or improve physical fitness and appearance. Exercise can help to lose weight, but it is not the only reason to exercise. The correct response is: (A) losing weight 
"
419,419,186,B,What could suddenly stop someone when he or she is running?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mushroom', 'falling down', 'sweating', 'exhaustion',
       'getting tired'], dtype=object)}",mushroom,falling down,sweating,exhaustion,,"Question: What could suddenly stop someone when he or she is running? (A) mushroom (B) falling down (C) sweating (D) exhaustion. 
The correct response is: "," (A) mushroom  
The mushroom could cause someone to suddenly stop running because it could be slippery and cause someone to trip. 
The mushroom could cause someone to suddenly stop running because it could be slippery and cause"
420,420,423,B,"The man didn't do great in college, all his best memories were late night with his brothers at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'fraternity house', 'school', 'building', 'big town'],
      dtype=object)}",big city,fraternity house,school,building,,"Question: The man didn't do great in college, all his best memories were late night with his brothers at the what? (A) big city (B) fraternity house (C) school (D) building. 
The correct response is: "," (B) fraternity house  
The man failed college but had good memories of late nights with his brothers in the fraternity house. 
The man did not do well in college"
421,421,1209,C,"If I did not have a rosebush, where would I get one?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pot', 'museum', 'garden center', 'formal garden', 'backyard'],
      dtype=object)}",pot,museum,garden center,formal garden,,"Question: If I did not have a rosebush, where would I get one? (A) pot (B) museum (C) garden center (D) formal garden. 
The correct response is: "," (C) garden center  
The source of this item is: garden center 
The item is: rosebush 
The item is processed from: plant material 
The original item is: plant 
The original item is processed from: none"
422,422,758,D,"Where can you buy a magazine, paper or gum?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'rack', 'bed', 'newsstand', 'bus depot'], dtype=object)}",bank,rack,bed,newsstand,,"Question: Where can you buy a magazine, paper or gum? (A) bank (B) rack (C) bed (D) newsstand. 
The correct response is: "," (B) rack  
The item in the list that is a type of retail is: bed 
The correct response is: (B) rack 
The item in the list that is a type of retail is: (B) rack 
"
423,423,741,A,Children's behavior is a direct reflection of their what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['parents', 'old people', 'play ball', 'many adults', 'grown ups'],
      dtype=object)}",parents,old people,play ball,many adults,,"Question: Children's behavior is a direct reflection of their what? (A) parents (B) old people (C) play ball (D) many adults. 
The correct response is: "," (A) parents 
The child's behavior is most likely to be influenced by  (A) parents 
The child's behavior is most likely to be influenced by their parents, as they spend most of their time with them and learn from them. 
"
424,424,481,B,"The man started to learn jogging, what was he hoping to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exhaustion', 'getting in shape', 'fitness', 'injure himself',
       'fatigue'], dtype=object)}",exhaustion,getting in shape,fitness,injure himself,,"Question: The man started to learn jogging, what was he hoping to do? (A) exhaustion (B) getting in shape (C) fitness (D) injure himself. 
The correct response is: "," (B) getting in shape  
The man was hoping to get in shape, which means he wanted to improve his physical condition by doing physical activity, and thus, he was hoping to lose weight and become healthier  (A) exhaustion"
425,425,328,C,"The player lifted his cornet and walked in rhythm, what was the player a member of?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['museum', 'high school band', 'marching band', 'orchestra', 'band'],
      dtype=object)}",museum,high school band,marching band,orchestra,,"Question: The player lifted his cornet and walked in rhythm, what was the player a member of? (A) museum (B) high school band (C) marching band (D) orchestra. 
The correct response is: "," (C) marching band  
The player was likely a member of a marching band, as they perform in uniform while marching in rhythm to play music, typically brass instruments 
The player was likely a"
426,426,922,D,"If someone was making breakfast, they'd probably put two slices of bread in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['plastic bag', 'pantry', 'supermarket', 'toaster', 'prison'],
      dtype=object)}",plastic bag,pantry,supermarket,toaster,,"Question: If someone was making breakfast, they'd probably put two slices of bread in the what? (A) plastic bag (B) pantry (C) supermarket (D) toaster. 
The correct response is: "," (D) toaster  
The toaster is a household appliance that cooks bread to a golden brown. 
The toaster is a household appliance that cooks bread to a golden brown. It has a"
427,427,239,B,A creek is a body of water found in what low land?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'valley', 'outdoors', 'countryside', 'woods'],
      dtype=object)}",forest,valley,outdoors,countryside,,"Question: A creek is a body of water found in what low land? (A) forest (B) valley (C) outdoors (D) countryside. 
The correct response is: "," (B) valley  
The creek is a small channel of flowing water that is generally found in valleys or low areas of land. 
The correct response is: (B) valley 
The correct response is: (B) valley"
428,428,748,C,"A thoroughfare meandered through fields and woods, where was it passing though?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['move about', 'city', 'country', 'town', 'new york city'],
      dtype=object)}",move about,city,country,town,,"Question: A thoroughfare meandered through fields and woods, where was it passing though? (A) move about (B) city (C) country (D) town. 
The correct response is: "," (A) move about 
The road is passing through: (A) move about  (B) city (C) country (D) town 
The road is not passing through: (A) move about 
The road is passing through: ("
429,429,1219,A,"Setting up framing, truss and beam are some of the first steps in what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new construction', 'warehouse', 'driving', 'ceiling', 'bridge'],
      dtype=object)}",new construction,warehouse,driving,ceiling,,"Question: Setting up framing, truss and beam are some of the first steps in what? (A) new construction (B) warehouse (C) driving (D) ceiling. 
The correct response is: "," (A) new construction  
The framing stage is when the skeletal framework of a building is built, so the correct response is: (A) new construction 
The other options are: (B) warehouse ("
430,430,1197,B,Where can you find a place to eat in an urban area close to local nightlife?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'downtown', 'mall', 'shopping center', 'own house'],
      dtype=object)}",city,downtown,mall,shopping center,,"Question: Where can you find a place to eat in an urban area close to local nightlife? (A) city (B) downtown (C) mall (D) shopping center. 
The correct response is: "," (B) downtown  
The downtown area of an urban space is where the nightlife is most likely to be found. This is because the downtown area is usually the center of the city, where the most"
431,431,959,A,where is a good place to obtain new soap?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'washing', 'cabinet', 'own home', 'sink'],
      dtype=object)}",supermarket,washing,cabinet,own home,,"Question: where is a good place to obtain new soap? (A) supermarket (B) washing (C) cabinet (D) own home. 
The correct response is: "," (A) supermarket  
The soap is a product that is obtained from a store, not from the home. Therefore, the correct response is: (A) supermarket 
The other options are: (B) washing (C) cabinet (D) own home "
432,432,1060,A,What was the man encouraged to do after he expressed his anger violently?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cool off', 'punch', 'illustrate point', 'fight', 'release energy'],
      dtype=object)}",cool off,punch,illustrate point,fight,,"Question: What was the man encouraged to do after he expressed his anger violently? (A) cool off (B) punch (C) illustrate point (D) fight. 
The correct response is: "," (A) cool off 
The man was encouraged to  (A) cool off 
The man was encouraged to calm down after expressing his anger violently 
The correct response is:  (A) cool off 
The man"
433,433,74,C,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punctured', 'popular in america', 'full of air', 'gone', 'round'],
      dtype=object)}",punctured,popular in america,full of air,gone,,"Question: What would not be true about a basketball if it had a hole in it but it did not lose its general shape? (A) punctured (B) popular in america (C) full of air (D) gone. 
The correct response is: "," (A) punctured  
The basketball is a sphere, so it would maintain its shape even if it had a hole in it, as long as the hole was small enough that the basketball"
434,434,1076,C,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating food', 'public place', 'race track', 'at hotel',
       'public building'], dtype=object)}",eating food,public place,race track,at hotel,,"Question: John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at? (A) eating food (B) public place (C) race track (D) at hotel. 
The correct response is: "," (C) race track  
The toilet bathroom is most likely to be: (C) race track 
The"
435,435,1165,A,What type of demands to the unions need to be making to go off strike?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reasonable', 'more money', 'not go to work', 'return to work',
       'union'], dtype=object)}",reasonable,more money,not go to work,return to work,,"Question: What type of demands to the unions need to be making to go off strike? (A) reasonable (B) more money (C) not go to work (D) return to work. 
The correct response is: ","2) more money 
The union demands are likely to be reasonable if they are seeking  (A) more money 2) less money (C) no money (D) more workers. 
The correct response is:"
436,436,433,C,It's dangerous to let pet birds free so it's better to keep them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slavery', 'caught', 'caged in', 'topfree', 'prisoner'],
      dtype=object)}",slavery,caught,caged in,topfree,,"Question: It's dangerous to let pet birds free so it's better to keep them what? (A) slavery (B) caught (C) caged in (D) topfree. 
The correct response is: "," (C) caged in 
The correct response is: (C) caged in 
The correct response is: (C) caged in 
The correct response is: (C) caged in 
The correct"
437,437,91,C,You'll find a landing at the top of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'apartment building', 'stairwell', 'airport', 'room'],
      dtype=object)}",ocean,apartment building,stairwell,airport,,"Question: You'll find a landing at the top of what? (A) ocean (B) apartment building (C) stairwell (D) airport. 
The correct response is: "," (C) stairwell  
The top of a stairwell is a landing, a resting place between flights of stairs 
The top of an airport is a runway, a place where planes take off and land 
The"
438,438,348,A,What does everyone have in relation to other people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feelings', 'food', 'unique personality', 'different standards',
       'values'], dtype=object)}",feelings,food,unique personality,different standards,,"Question: What does everyone have in relation to other people? (A) feelings (B) food (C) unique personality (D) different standards. 
The correct response is: "," (C) unique personality  
The personality of everyone is different from one another, even if they are siblings or identical twins. Because of this, we can all say that we all have different personality 
The correct response is: (C) unique personality"
439,439,707,A,What very large group of western citizens has bees everywhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'space station', 'trash can', 'field of flowers',
       'bouquet of flowers'], dtype=object)}",united states,space station,trash can,field of flowers,,"Question: What very large group of western citizens has bees everywhere? (A) united states (B) space station (C) trash can (D) field of flowers. 
The correct response is: "," (A) united states  
The number of humans in the United States is around 330 million, and the number of bees is around 200 million to 2 billion 
The correct response is:  (A)"
440,440,197,A,What do airplanes do as they are arriving at the gate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slow down', 'crash', 'speed up', 'land', 'carry people'],
      dtype=object)}",slow down,crash,speed up,land,,"Question: What do airplanes do as they are arriving at the gate? (A) slow down (B) crash (C) speed up (D) land. 
The correct response is: "," (A) slow down  
The plane slows down to a stop before reaching the gate, so the correct response is: A) slow down 
The plane slows down to a stop before reaching the gate, so the correct response is: A) slow"
441,441,991,C,The earth is one planet in what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'orbit', 'solar system', 'fotograph', 'dreams'],
      dtype=object)}",tree,orbit,solar system,fotograph,,"Question: The earth is one planet in what? (A) tree (B) orbit (C) solar system (D) fotograph. 
The correct response is: "," (C) solar system  
The orbit is a path that a planet orbits an orbiting body, such as the Earth orbiting the Sun. 
The orbit is a path that a planet orbits an orbiting body, such as the Earth orbiting the Sun 
The orbit is"
442,442,512,A,Where is a public monument likely to be erected by a city?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['municipal park', 'office', 'state park', 'cemetary',
       'public gardens'], dtype=object)}",municipal park,office,state park,cemetary,,"Question: Where is a public monument likely to be erected by a city? (A) municipal park (B) office (C) state park (D) cemetary. 
The correct response is: "," (A) municipal park  
The city is unlikely to erect a public monument in a cemetery because cemeteries are typically owned by private organizations, such as the Catholic Church or local government, and are reserved for the burial of the dead."
443,443,274,D,One of the potential hazards of attending school is what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooties', 'get smart', 'boredom', 'colds and flu', 'taking tests'],
      dtype=object)}",cooties,get smart,boredom,colds and flu,,"Question: One of the potential hazards of attending school is what? (A) cooties (B) get smart (C) boredom (D) colds and flu. 
The correct response is: "," (D) colds and flu  
The flu and common cold are both contagious and can be acquired in a classroom where students who are infected are present. 
The correct response is: (D) colds and"
444,444,886,A,What could people do that involves talking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['confession', 'state park', 'sing', 'carnival', 'opera'],
      dtype=object)}",confession,state park,sing,carnival,,"Question: What could people do that involves talking? (A) confession (B) state park (C) sing (D) carnival. 
The correct response is: "," (A) confession  
The human activity involving talking is: (A) confession 
The human activity involving talking is: talking 
The human activity involving talking is: talking to each other 
The human activity involving talking is: talking to one another 
The human"
445,445,1110,D,Where areas are there likely to be many nightclubs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manhattan', 'drink and dance', 'alcohol', 'major city',
       'downtown area'], dtype=object)}",manhattan,drink and dance,alcohol,major city,,"Question: Where areas are there likely to be many nightclubs? (A) manhattan (B) drink and dance (C) alcohol (D) major city. 
The correct response is: "," (D) major city 
The nightclub is a product of humanity and requires a lot of human activity, so it is likely to be found in an area with a lot of people, such as a city. 
The nightclub is unlikely to be"
446,446,580,D,Where is known to be a wealth of information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'internet', 'meeting', 'library', 'book'], dtype=object)}",park,internet,meeting,library,,"Question: Where is known to be a wealth of information? (A) park (B) internet (C) meeting (D) library. 
The correct response is: "," (D) library  
The library is known to be a wealth of information "
447,447,564,D,In what country are the most fast food restaurants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'blocks of flats', 'center of town', 'america',
       'big cities'], dtype=object)}",new york,blocks of flats,center of town,america,,"Question: In what country are the most fast food restaurants? (A) new york (B) blocks of flats (C) center of town (D) america. 
The correct response is: "," (D) america 
The United States has the most fast food restaurants in the world, with beef being the most common ingredient  (A) new york (B) blocks of flats (C) center of town (D"
448,448,739,A,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['roots', 'millions of cells', 'see work', 'leaves to gather light',
       'flowers on'], dtype=object)}",roots,millions of cells,see work,leaves to gather light,,"Question: If I wanted to eat something that is made from plants and needs to be washed, what would it be? (A) roots (B) millions of cells (C) see work (D) leaves to gather light. 
The correct response is: "," (B) millions of cells  
The correct response is: (B) millions of cells 
The correct response is: (B) millions of cells 
The correct response is: (B)"
449,449,775,A,"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gay bar', 'market', 'grocery store', 'refrigerator', 'container'],
      dtype=object)}",gay bar,market,grocery store,refrigerator,,"Question: If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it? (A) gay bar (B) market (C) grocery store (D) refrigerator. 
The correct response is: "," (C) grocery store 
The intended response is:  (D) refrigerator 
The correct response is:  (D) refrigerator 
"
450,450,588,D,What is the sun ultimately responsible for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth warming', 'sun tan', 'light', 'life on earth', 'heat'],
      dtype=object)}",earth warming,sun tan,light,life on earth,,"Question: What is the sun ultimately responsible for? (A) earth warming (B) sun tan (C) light (D) life on earth. 
The correct response is: "," (A) earth warming  
The sun is responsible for warming the earth, which is why it is crucial for survival. However, it is also responsible for other things, such as: 
- sunburns 
- light 
- warmth "
451,451,507,A,Where would you go to get some pamphlets if you want to own them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'drawer', 'health department', 'mail box', 'library'],
      dtype=object)}",bookstore,drawer,health department,mail box,,"Question: Where would you go to get some pamphlets if you want to own them? (A) bookstore (B) drawer (C) health department (D) mail box. 
The correct response is: "," (C) health department  
The health department can provide you with information about the community, so it makes sense that you could find pamphlets there. 
However, the incorrect responses are: (A) bookstore (B) dra"
452,452,650,D,"He was trying to procreate with many individuals, this led to a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moaning', 'die', 'kiss', 'std', 'sanity'], dtype=object)}",moaning,die,kiss,std,,"Question: He was trying to procreate with many individuals, this led to a what? (A) moaning (B) die (C) kiss (D) std. 
The correct response is: ", (D) std 
453,453,308,B,Kramer wrote a self-referential book.  What might that book be about?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['counter', 'coffee table', 'school room', 'backpack',
       'bedside table'], dtype=object)}",counter,coffee table,school room,backpack,,"Question: Kramer wrote a self-referential book.  What might that book be about? (A) counter (B) coffee table (C) school room (D) backpack. 
The correct response is: "," (A) counter  
The self-referential book is likely about: This book is about itself 
The self-referential book is likely about: This book is about itself 
The self-referential book is likely about"
454,454,846,C,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stand up', 'produce', 'construct', 'make', 'build'], dtype=object)}",stand up,produce,construct,make,,"Question: Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what? (A) stand up (B) produce (C) construct (D) make. 
The correct response is: "," (C) construct  
The correct response is:  (C) construct 
Sean was a wreck.  He  loved to build houses, but in his current state, he couldn'"
455,455,461,B,What is it called when two people in love have children?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take oath', 'procreate', 'matrimony', 'please parents',
       'live life'], dtype=object)}",take oath,procreate,matrimony,please parents,,"Question: What is it called when two people in love have children? (A) take oath (B) procreate (C) matrimony (D) please parents. 
The correct response is: "," (B) procreate  
The father and mother having children together is called procreation. This is the act of producing or procreating offspring, which is typically referred to as kids or children. 
The correct response is:  ("
456,456,211,C,"After standing up I had to sit right back down, why would I feel like this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train', 'effort', 'balance', 'feet', 'muscles'], dtype=object)}",train,effort,balance,feet,,"Question: After standing up I had to sit right back down, why would I feel like this? (A) train (B) effort (C) balance (D) feet. 
The correct response is: "," (D) feet 
The reason is: I had to sit down because I was likely feeling unstable or dizzy after standing up, which could be caused by a variety of factors related to my feet 
The correct response is: (D) feet"
457,457,16,D,When drinking booze what can you do to stay busy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}",reach tentative agreement,stay in bed,stop bicycle,examine thing,,"Question: When drinking booze what can you do to stay busy? (A) reach tentative agreement (B) stay in bed (C) stop bicycle (D) examine thing. 
The correct response is: "," (A) reach tentative agreement  
The correct response is:  (A) reach tentative agreement 
The correct response is:  (A) reach tentative agreement 
The correct response is:  (A)"
458,458,969,A,"Sally was standing in queue.  The line was very, very slow.  What was she feeling?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frustration', 'delays', 'being annoyed', 'moving forward',
       'progress'], dtype=object)}",frustration,delays,being annoyed,moving forward,,"Question: Sally was standing in queue.  The line was very, very slow.  What was she feeling? (A) frustration (B) delays (C) being annoyed (D) moving forward. 
The correct response is: "," (A) frustration  
The queue is slow, so Sally is feeling frustrated 
The other options are incorrect:  (B) delays (C) being annoyed (D) moving"
459,459,401,C,What must happen for an animal to and it's offspring to continue livng?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['death', 'flying', 'reproducing', 'food consumed',
       'eventually die'], dtype=object)}",death,flying,reproducing,food consumed,,"Question: What must happen for an animal to and it's offspring to continue livng? (A) death (B) flying (C) reproducing (D) food consumed. 
The correct response is: "," (D) food consumed 
The animal must eat to survive, and its offspring must also eat to survive. In order for them to continue living, they must consume food  (A) die (B) fly (C)"
460,460,245,A,The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['awake', 'repeat', 'sleeping', 'concentrate', 'read aloud'],
      dtype=object)}",awake,repeat,sleeping,concentrate,,"Question: The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what? (A) awake (B) repeat (C) sleeping (D) concentrate. 
The correct response is: "," (D) concentrate 
The ability of Joe to memorize the list in spite of his apparent state proves that parts of his brain were able to concentrate 
The correct response is: (D"
461,461,848,C,Where would you buy a finely crafted writing instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nasa', 'classroom', 'stationery store', 'purse',
       'office supply store'], dtype=object)}",nasa,classroom,stationery store,purse,,"Question: Where would you buy a finely crafted writing instrument? (A) nasa (B) classroom (C) stationery store (D) purse. 
The correct response is: "," (C) stationery store 
The item being considered needs to be crafted, so it is likely to be found at: (C) stationery store 
The item being considered needs to be crafted, so it is likely to be found at: ("
462,462,793,C,Where do people get beer after a bit of gambling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bottle', 'grocery store', 'casino', 'spaceship', 'hockey game'],
      dtype=object)}",bottle,grocery store,casino,spaceship,,"Question: Where do people get beer after a bit of gambling? (A) bottle (B) grocery store (C) casino (D) spaceship. 
The correct response is: "," (C) casino 
The beer is likely to be a payout from a slot machine 
The machine will dispense candy or other items, but beer is also a common prize 
The casino will also have a bar"
463,463,168,A,Where are people likely to become impatient?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['end of line', 'buildings', 'apartment', ""neighbor's house"",
       'address'], dtype=object)}",end of line,buildings,apartment,neighbor's house,,"Question: Where are people likely to become impatient? (A) end of line (B) buildings (C) apartment (D) neighbor's house. 
The correct response is: "," (A) end of line  
The most likely place where people become impatient is: end of line 
The line of waiting is the most likely place where people become impatient because they have to wait for their turn, and this can take a long"
464,464,787,D,Where would you put a plate immediately after eating from it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen cupboard', 'floor', 'table', 'dishwasher', 'flea market'],
      dtype=object)}",kitchen cupboard,floor,table,dishwasher,,"Question: Where would you put a plate immediately after eating from it? (A) kitchen cupboard (B) floor (C) table (D) dishwasher. 
The correct response is: "," (D) dishwasher 
The plate would be cleaned in the dishwasher, so the correct response is: (D) dishwasher 
The other responses are: (A) kitchen cupboard (B"
465,465,634,B,Where would you put some ham if you want to cook it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hamshackle', 'pizza', 'fridge', 'refrigerator', 'part of meal'],
      dtype=object)}",hamshackle,pizza,fridge,refrigerator,,"Question: Where would you put some ham if you want to cook it? (A) hamshackle (B) pizza (C) fridge (D) refrigerator. 
The correct response is: "," (C) fridge 
The ham would be raw, so it needs to go in the refrigerator  (A) hamshackle is not a real thing (B) pizza is also in the refrigerator ("
466,466,282,A,"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'owning', 'debt', 'spending money', 'smart'],
      dtype=object)}",pleasure,owning,debt,spending money,,"Question: For some reason she was devoid of regular emotions, buying products was the only way she could feel what? (A) pleasure (B) owning (C) debt (D) spending money. 
The correct response is: "," (D) spending money 
The person in the scenario is unable to feel: (C) debt 
The person in the scenario is able to feel: (D) spending money 
The"
467,467,554,C,"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meet interesting people', 'lift weights', 'listen to music',
       'play chess', 'entertain'], dtype=object)}",meet interesting people,lift weights,listen to music,play chess,,"Question: His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what? (A) meet interesting people (B) lift weights (C) listen to music (D) play chess. 
The correct response is: "," (D) play chess  
The boy is most likely to be doing this when his parents think he is just laying in bed doing nothing 
The parents think the boy is just"
